label,conductor,delta,rank,a_invariants_raw
362a1,362,-362,1,"[1, 1, 0, -4, 2]"
362b1,362,-23168,1,"[1, 1, 1, 6, 7]"
363a1,363,526153617,0,"[1, 1, 1, -789, 8130]"
363b1,363,-3267,0,"[0, -1, 1, 4, -1]"
363c1,363,-5787689787,0,"[0, -1, 1, 444, -826]"
364a1,364,-55933696,1,"[0, 0, 0, -584, 5444]"
364b1,364,-23296,1,"[0, 1, 0, -5, 7]"
366a1,366,-2196,0,"[1, 0, 0, -205, -1147]"
366b1,366,-474336,0,"[1, 0, 0, -5, 33]"
366c1,366,-863502336,0,"[1, 0, 1, -913, -10780]"
366d1,366,-12448473984,0,"[1, 1, 1, -7096, -233095]"
3660,366,-46848,0,"[1, 1, 0, -1, -11]"
366f1,366,-177876,1,"[1, 0, 1, -5, 20]"
366g1,366,-562176,1,"[1, 1, 1, -32, 65]"
368a1,368,-23552,1,"[0, 0, 0, 5, -6]"
368b1,368,-96468992,0,"[0, 0, 0, -163, 930]"
368c1,368,-368,0,"[0, 1, 0, -4, -5]"
368d1,368,-368,1,"[0, 1, 0, 0, -1]"
3680,368,-368,1,"[0, -1, 0, 2, -1]"
368f1,368,-368,0,"[0, 0, 0, -1, -1]"
368g1,368,-368,1,"[0, 0, 0, -55, 157]"
369a1,369,-89667,1,"[0, 0, 1, 6, 13]"
369b1,369,-7263027,0,"[0, 0, 1, -93, -369]"
370a1,370,2960,1,"[1, -1, 0, -5, 5]"
370b1,370,-378880,0,"[1, 1, 0, 13, -19]"
370c1,370,-50653000,0,"[1, 0, 1, -19, 342]"
370d1,370,18944000,0,"[1, 0, 0, -75, -143]"
371a1,371,-127253,1,"[1, 1, 0, -35, -98]"
371b1,371,-18179,0,"[0, 0, 1, -31, -67]"
372a1,372,-4464,1,"[0, -1, 0, -6, 9]"
372b1,372,-46128,0,"[0, 1, 0, -9, 12]"
372c1,372,-1.92161E+11,0,"[0, 1, 0, -3054, -69327]"
372d1,372,-40176,1,"[0, 1, 0, -2, 9]"
373a1,373,373,1,"[0, 1, 1, -2, -2]"
374a1,374,2106368,1,"[1, -1, 0, -32, 0]"
377a1,377,377,1,"[1, -1, 0, -8, 11]"
378a1,378,-96768,0,"[1, -1, 1, 10, 5]"
378b1,378,-74088,0,"[1, -1, 0, -12, 24]"
378c1,378,-4960116,0,"[1, -1, 1, -2, -107]"
378d1,378,-6804,1,"[1, -1, 0, 0, 4]"
3780,378,-592704,0,"[1, -1, 1, -11, -37]"
378f1,378,-756,1,"[1, -1, 0, -141, 681]"
378g1,378,-4.66842E+12,0,"[1, -1, 1, 3967, 38449]"
378h1,378,-6403870368,0,"[1, -1, 0, 441, -1571]"
380a1,380,28880,1,"[0, 0, 0, -8, -3]"
380b1,380,6516050000,0,"[0, -1, 0, -921, 10346]"
381a1,381,30861,1,"[0, 1, 1, -11, -16]"
381b1,381,381,0,"[0, 1, 1, -4, -5]"
384a1,384,768,0,"[0, 1, 0, -3, -3]"
384b1,384,-1152,0,"[0, -1, 0, 2, -2]"
384c1,384,-1152,0,"[0, 1, 0, 2, 2]"
384d1,384,768,1,"[0, -1, 0, -3, 3]"
3840,384,-93312,0,"[0, 1, 0, -6, -18]"
384f1,384,-93312,0,"[0, -1, 0, -6, 18]"
