delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
151632.0,156,0,,,,156b1,107481199202.25963,500000.0,0.0,389287491721.1404,500000.0,0.5
20224.0,158,1,,,,158a1,81450600003.57188,500000.0,0.0,391157482979.8507,500000.0,0.5
316.0,158,1,,,,158b1,27713409833.879456,500000.0,0.0,391157482979.8507,500000.0,0.5
82837504.0,158,0,,,,158c1,188924980342.95673,500000.0,0.0,391157482979.8507,500000.0,0.5
31554496.0,158,0,,,,158d1,176454024897.95407,500000.0,0.0,391157482979.8507,500000.0,0.5
-316.0,158,0,,,,158e1,27713409833.879456,500000.0,0.0,391157482979.8507,500000.0,0.5
320.0,160,1,,,,160a1,27875941070.753544,500000.0,0.0,393003951711.6846,500000.0,0.5
320.0,160,0,,,,160b1,27875941070.753544,500000.0,0.0,393003951711.6846,500000.0,0.5
25921.0,161,0,,,,161a1,84657393767.65984,500000.0,0.0,393918548618.4033,500000.0,0.5
-2916.0,162,1,,,,162a1,56426930338.157005,500000.0,0.0,394827482350.08014,500000.0,0.5
-648.0,162,0,,,,162b1,36992651595.41106,500000.0,0.0,394827482350.08014,500000.0,0.5
-1458.0,162,0,,,,162c1,47470731976.5416,500000.0,0.0,394827482350.08014,500000.0,0.5
-5184.0,162,0,,,,162d1,63861246680.25728,500000.0,0.0,394827482350.08014,500000.0,0.5
-163.0,163,1,,,,163a1,19159769356.723515,500000.0,0.0,395730822607.9949,500000.0,0.5
-1328.0,166,1,,,,166a1,46264013458.566696,500000.0,0.0,398407960553.5415,500000.0,0.5
336.0,168,0,,,,168a1,28506361853.889694,500000.0,0.0,400165973525.74866,500000.0,0.5
-1037232.0,168,0,,,,168b1,132326521618.46681,500000.0,0.0,400165973525.74866,500000.0,0.5
6800.0,170,1,,,,170a1,67367320948.71184,500000.0,0.0,401903181122.1633,500000.0,0.5
31443200.0,170,0,,,,170b1,176408370399.11374,500000.0,0.0,401903181122.1633,500000.0,0.5
-4456448000.0,170,0,,,,170c1,240418341695.3927,500000.0,0.0,401903181122.1633,500000.0,0.5
-17000.0,170,0,,,,170d1,79206771186.31541,500000.0,0.0,401903181122.1633,500000.0,0.5
-170.0,170,0,,,,170e1,19703077264.646664,500000.0,0.0,401903181122.1633,500000.0,0.5
41553.0,171,0,,,,171a1,90755053603.27132,500000.0,0.0,402764135664.4413,500000.0,0.5
-13851.0,171,1,,,,171b1,76559815051.09064,500000.0,0.0,402764135664.4413,500000.0,0.5
-817887699.0,171,0,,,,171c1,218512200572.8974,500000.0,0.0,402764135664.4413,500000.0,0.5
-124659.0,171,0,,,,171d1,104950292155.45198,500000.0,0.0,402764135664.4413,500000.0,0.5
-11008.0,172,1,,,,172a1,73591392700.51973,500000.0,0.0,403620070035.0851,500000.0,0.5
-621261297432576.0,174,0,,,,174a1,393470335304.7261,500000.0,0.0,405317110076.547,500000.0,0.5
-8118144.0,174,0,,,,174b1,158912202127.73505,500000.0,0.0,405317110076.547,500000.0,0.5
-1566.0,174,0,,,,174c1,48394057749.31991,500000.0,0.0,405317110076.547,500000.0,0.5
-1392.0,174,0,,,,174d1,46872175729.80477,500000.0,0.0,405317110076.547,500000.0,0.5
-712704.0,174,0,,,,174e1,127477960984.34341,500000.0,0.0,405317110076.547,500000.0,0.5
-875.0,175,1,,,,175a1,40873275652.90432,500000.0,0.0,406158329161.86365,500000.0,0.5
-546875.0,175,1,,,,175b1,124055870049.78021,500000.0,0.0,406158329161.86365,500000.0,0.5
-13671875.0,175,0,,,,175c1,165647167248.21814,500000.0,0.0,406158329161.86365,500000.0,0.5
-2816.0,176,0,,,,176a1,55976044989.72527,500000.0,0.0,406994754950.02704,500000.0,0.5
-45056.0,176,0,,,,176b1,91800838436.1869,500000.0,0.0,406994754950.02704,500000.0,0.5
-2816.0,176,1,,,,176c1,55976044989.72527,500000.0,0.0,406994754950.02704,500000.0,0.5
-364544.0,178,0,,,,178a1,118815435785.90637,500000.0,0.0,408653442978.5579,500000.0,0.5
1458176.0,178,0,,,,178b1,136727832509.13718,500000.0,0.0,408653442978.5579,500000.0,0.5
-179.0,179,0,,,,179a1,20369640904.8078,500000.0,0.0,409475811116.2875,500000.0,0.5
58320.0,180,0,,,,180a1,95134975660.60678,500000.0,0.0,410293597792.1587,500000.0,0.5
-60782804992.0,182,0,,,,182a1,274180496476.10965,500000.0,0.0,411915628977.2831,500000.0,0.5
-46592.0,182,0,,,,182b1,92233987250.65785,500000.0,0.0,411915628977.2831,500000.0,0.5
-21926008832.0,182,0,,,,182c1,261005749294.3202,500000.0,0.0,411915628977.2831,500000.0,0.5
-8918.0,182,0,,,,182d1,70870855464.54515,500000.0,0.0,411915628977.2831,500000.0,0.5
-332678528.0,182,0,,,,182e1,206889079090.91434,500000.0,0.0,411915628977.2831,500000.0,0.5
-368.0,184,1,,,,184a1,29681813927.807358,500000.0,0.0,413519932690.7769,500000.0,0.5
-368.0,184,1,,,,184b1,29681813927.807358,500000.0,0.0,413519932690.7769,500000.0,0.5
-23552.0,184,0,,,,184c1,83419004097.49979,500000.0,0.0,413519932690.7769,500000.0,0.5
-368.0,184,0,,,,184d1,29681813927.807358,500000.0,0.0,413519932690.7769,500000.0,0.5
23125.0,185,1,,,,185a1,83182594396.87589,500000.0,0.0,414315557016.0877,500000.0,0.5
925.0,185,1,,,,185b1,41591297198.43794,500000.0,0.0,414315557016.0877,500000.0,0.5
185.0,185,1,,,,185c1,20795648599.21897,500000.0,0.0,414315557016.0877,500000.0,0.5
-10983114.0,186,0,,,,186a1,162817689615.65295,500000.0,0.0,415106892240.64703,500000.0,0.5
-241056.0,186,0,,,,186b1,113471051749.03055,500000.0,0.0,415106892240.64703,500000.0,0.5
-11904.0,186,0,,,,186c1,74602494263.53867,500000.0,0.0,415106892240.64703,500000.0,0.5
-384659.0,187,0,,,,187a1,119509425690.66208,500000.0,0.0,415893984360.5058,500000.0,0.5
-22627.0,187,0,,,,187b1,82901297688.69197,500000.0,0.0,415893984360.5058,500000.0,0.5
1701.0,189,1,,,,189a1,49462522616.15077,500000.0,0.0,417455619606.2229,500000.0,0.5
189.0,189,1,,,,189b1,21072045511.78943,500000.0,0.0,417455619606.2229,500000.0,0.5
9261.0,189,0,,,,189c1,71358500618.59995,500000.0,0.0,417455619606.2229,500000.0,0.5
1240029.0,189,0,,,,189d1,134633953929.23483,500000.0,0.0,417455619606.2229,500000.0,0.5
-972800.0,190,1,,,,190a1,131497862914.214,500000.0,0.0,418230251106.51984,500000.0,0.5
-950.0,190,1,,,,190b1,41935879298.05994,500000.0,0.0,418230251106.51984,500000.0,0.5
-2375000.0,190,0,,,,190c1,143030870418.16666,500000.0,0.0,418230251106.51984,500000.0,0.5
192.0,192,1,,,,192a1,21275531023.71525,500000.0,0.0,419767357598.12225,500000.0,0.5
192.0,192,0,,,,192b1,21275531023.71525,500000.0,0.0,419767357598.12225,500000.0,0.5
-3072.0,192,0,,,,192c1,57100324470.176865,500000.0,0.0,419767357598.12225,500000.0,0.5
-3072.0,192,0,,,,192d1,57100324470.176865,500000.0,0.0,419767357598.12225,500000.0,0.5
388.0,194,0,,,,194a1,30365627609.073776,500000.0,0.0,421288535238.46277,500000.0,0.5
5265.0,195,0,,,,195a1,64061577250.65563,500000.0,0.0,422043253243.6931,500000.0,0.5
-195.0,195,0,,,,195b1,21475861594.11361,500000.0,0.0,422043253243.6931,500000.0,0.5
-27421875.0,195,0,,,,195c1,174640230293.78882,500000.0,0.0,422043253243.6931,500000.0,0.5
-24024195.0,195,0,,,,195d1,172931037188.94128,500000.0,0.0,422043253243.6931,500000.0,0.5
784.0,196,1,,,,196a1,39454350855.11428,500000.0,0.0,422794110781.8913,500000.0,0.5
